Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,97,,,,,,,,,,97.98999786,,,,
Africa Eastern and Southern,AFE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.86621094,57.26845932,57.61875153,58.14876175,58.18180084,58.46995163,58.91260147,59.34590149,59.92193985,60.44985962,61.19145966,61.40491104,62.26570892,62.77009964,63.25819016,63.95227051,64.44235229,64.67675018,64.13368225,62.17927933,63.13407898,63.36717987,64.0625,64.80999756,66.87127686,68.54786682,69.38085938,70.03530884,70.44709015,71.1051712,71.02998352,71.49539948,72.65866089,72.85575867,72.63890839,72.98155975,73.27510834,
Afghanistan,AFG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,33.7538414,,,,,,37,,,
Africa Western and Central,AFW,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,40.29465103,40.55083084,41.29013824,41.97092819,42.79779053,43.57051849,44.36270905,45.13663101,45.95827103,46.83008957,47.00222015,47.86489105,48.86634064,50.23897171,51.08980942,47.57738113,48.76512146,49.49760818,50.07910919,51.42786026,51.54042053,52.22362137,50.28770065,50.72983932,50.85757065,51.41707993,52.02648926,52.57310867,53.42174911,54.14113998,55.0066185,55.46577835,56.47219849,59.74734879,59.55366898,59.70323944,60.0073204,60.29085159,60.50555038,
Angola,AGO,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,66,66.23586273,,,,,,,72.40000153,,
Albania,ALB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,96,,,97,97,,,,,98.81623077,,,,,98.5,,
Andorra,AND,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,46.47531128,46.95946884,47.53025818,48.10424042,48.78091812,48.89918137,49.71409988,50.51200104,51.31388092,52.097229,52.9797287,53.85493088,54.79576874,55.80374908,56.89017105,57.67678833,58.62234879,59.60628891,60.74340057,61.85475159,63.05041885,64.12461853,65.13143158,66.26094818,67.29463196,70.01904297,70.86917114,71.40384674,69.19499969,70.04464722,71.01017761,69.74595642,70.43971252,72.20359039,73.068367,73.81128693,74.31661224,75.02053833,73.71795654,74.21221161,74.55412292,74.80751801,75.12145996,75.53957367,75.81845856,76.15425873,
United Arab Emirates,ARE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,54,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,98,,98,98,,
Argentina,ARG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,96,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,99,,,,,,,,,,100,,,,,100,100,,,100,,,,
American Samoa,ASM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
